,館藏地/室,索書號,狀態/到期日
30,壯圍鄉立圖書館 /壯圍書庫,873.57 6014 c.4,在館內
31,壯圍鄉立圖書館 /壯圍書庫,873.57 6014 c.5,在館內
32,壯圍鄉立圖書館 /壯圍書庫,873.57 6014 c.6,在館內
33,員山鄉立圖書館 /員山書庫,889 6014 v.30,在館內
34,員山鄉立圖書館 /員山書庫,899 6014 89,在館內
35,員山鄉立圖書館 /員山書庫,889 6014 c.1,在館內
36,員山鄉立圖書館 /員山書庫,889 6014 c.2,在館內
37,冬山鄉立圖書館順安館/順安館書庫,873.57 6014 89,外借中/2021-07-27
38,冬山鄉立圖書館順安館/順安館書庫,889 4220 c.1,在館內
39,冬山鄉立圖書館順安館/順安館書庫,889 4220 c.2,在館內
40,冬山鄉立圖書館順安館/順安館書庫,889 4220 c.4,在館內
